title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,playlist_ID,channel_ID,url
Ke$ha - Die Young,2012-11-18,214,"['Electronic_music', 'Pop_music']",11562488,85299.0,3829.0,"['Kesha', 'Die', 'Young']",jellybean4everxx,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCauOw3Ze2Xohc_ikk-J0G5g,4LYLsJaUWGo
Madonna - Hung Up,2012-11-12,338,"['Electronic_music', 'Pop_music']",16929353,130810.0,2139.0,"['Hung', 'Up', 'madonna', 'confessions', 'on', 'dance', 'floor', 'COADF', 'version', 'clean', 'madona', 'mdna', 'canciones', 'nuevas', 'viejas', 'official', 'full', 'album', 'explicit', 'video', 'cancion', 'mtv', 'vma', 'disco', 'tour', 'edition', 'collection']",Sim Fortin,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCPThN4x67nEu7cQ11zLYiLQ,e99M6-7KW0k
"Earth, Wind & Fire - September",2013-01-12,216,"['Pop_music', 'Rhythm_and_blues', 'Soul_music']",660555416,4902428.0,305174.0,"['earth wind and fire', 'september earth wind and fire', 'do you remember', 'earth wind and fire September', 'セプテンバー', 'September song', 'september earth wind and fire lyrics', 'september earth wind and fire subtitulada en español', 'アースウィンドファイヤー', 'dancing in September', 'earth wind fire', 'weddings reception songs', 'party songs', 'september', 'diana ross', 'do you remember the 21st night of', ""kohl's"", ""kohl's december song"", 'nye', 'new years eve 2022', 'nyc']",EarthWindandFireVEVO,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC72IXi6wx33LdltVkdwtLpw,Gs069dndIYk
The Final Countdown,2017-01-25,311,['Rock_music'],63375393,779041.0,6934.0,"['Europe', 'ヨーロッパ', '歐洲合唱團', 'The Final Countdown (Expanded Edition)', 'The Final Countdown']",Europe - Topic,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC0BozWvZixt1XMFBwQTFeOA,NNiTxUEnmKI
Yves LaRock - Rise Up,2009-01-30,173,"['Electronic_music', 'Pop_music']",212660240,1186577.0,30229.0,"['Yves LaRock', 'Rise Up', 'club', 'house', 'electro', 'dance', 'techno', 'Ministry Of Sound', 'ministryofsound', 'Embassy One']",Embassy One,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC0YlEgUpFF3pepqyfGKN31Q,zoMYU_nOGNg
David Guetta & Chris Willis - Love Is Gone,2007-06-14,222,"['Electronic_music', 'Pop_music']",131031454,535656.0,15416.0,"['david guetta', 'hey mama david guetta', 'hey mama', 'david guetta hey mama', 'david guetta dangerous', 'unknown', 'nicki minaj', 'david guetta what i did for love', 'dangerous david guetta', 'what i did for love david guetta', 'nicki minaj david guetta', 'titanium', 'david guetta nicki minaj hey mama', 'david guetta nicki minaj', 'hey mama david guetta nicki minaj', 'dangerous', 'nicki minaj hey mama', 'titanium david guetta', 'david guetta titanium', 'nrj hits 2015', 'blast off david guetta', 'guetta', 'nicki minaj mama']",David Guetta,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC1l7wYrva1qCH-wgqcHaaRg,beGjncfEPt8
Laurent Wolf - No Stress,2009-05-06,235,"['Electronic_music', 'Pop_music']",38584481,182792.0,4562.0,"['Laurent Wolf', 'No Stress', 'club', 'house', 'electro', 'dance', 'techno', 'ministry of sound', 'ministry', 'ministryofsound', 'Embassy of Music']",Embassy One,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UC0YlEgUpFF3pepqyfGKN31Q,bVRnMrl2oj8
K-Maro Femme Like You,2011-10-26,251,"['Hip_hop_music', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",24904545,117166.0,2776.0,['K-Maro'],was1234ism,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCUxv9QeGOkBCXKVKhKLynIA,B91hqHI6gsg
Magic System- Premier Gaou,2011-11-28,296,['Christian_music'],23982601,203755.0,10062.0,"['premier', 'gaou', 'Magic System (Musical Group)', 'Africa (Continent)', 'Gaou', 'afrique', 'Premier Gaou (Musical Album)', 'Magic System (Musical Artist)', 'coupé', 'décalé']",Jo IBRAHIM,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCODMsUNpUJFUWZlqkd8xhCQ,d9zaFGANyrI
Daddy Yankee - Gasolina (Vídeo) [Clásico Reggaetonero],2015-01-25,194,"['Hip_hop_music', 'Music_of_Latin_America', 'Pop_music']",50788038,398060.0,6060.0,,Clásico Reggaetonero,Remember 4,PL3vg9bEaC1nobKShWit9nI_Yj7VoAmS9S,UCh9BaSKZJYOBiPQWzP-kcqg,DYw2yFp6hfE
